"nodeID","nodeLabel","latitude","longitude"
"48143","Erath","32° 14' 9.98"" N","98° 13' 4.26"" S"
"48163","Frio","28° 52' 3.92"" N","99° 6' 29.55"" S"
"48165","Gaines","32° 44' 27.05"" N","102° 38' 6.59"" S"
"48179","Gray","35° 24' 4.00"" N","100° 48' 45.35"" S"
"48285","Lavaca","29° 23' 3.36"" N","96° 55' 48.13"" S"
"48303","Lubbock","33° 36' 36.44"" N","101° 49' 13.89"" S"
"48365","Panola","32° 9' 44.35"" N","94° 18' 20.28"" S"
"48009","Archer","33° 36' 54.64"" N","98° 41' 15.60"" S"
"48417","Shackelford","32° 44' 9.12"" N","99° 21' 14.58"" S"
"48421","Sherman","36° 16' 39.42"" N","101° 53' 36.38"" S"
"48431","Sterling","31° 49' 39.56"" N","101° 3' 0.18"" S"
"48435","Sutton","30° 29' 54.66"" N","100° 32' 17.59"" S"
"48369","Parmer","34° 31' 47.95"" N","102° 47' 4.11"" S"
"48381","Randall","34° 57' 56.86"" N","101° 53' 49.40"" S"
"48487","Wilbarger","34° 4' 50.17"" N","99° 14' 27.04"" S"
"48493","Wilson","29° 10' 26.23"" N","98° 5' 12.01"" S"
"48139","Ellis","32° 20' 54.20"" N","96° 47' 40.41"" S"
"48403","Sabine","31° 20' 35.26"" N","93° 51' 6.08"" S"
"48481","Wharton","29° 16' 40.01"" N","96° 13' 19.90"" S"
"48353","Nolan","32° 18' 12.40"" N","100° 24' 21.55"" S"
"48357","Ochiltree","36° 16' 41.74"" N","100° 48' 56.41"" S"
"48367","Parker","32° 46' 39.22"" N","97° 48' 18.24"" S"
"48221","Hood","32° 25' 47.80"" N","97° 49' 56.29"" S"
"48227","Howard","32° 18' 21.93"" N","101° 26' 8.14"" S"
"48097","Cooke","33° 38' 21.02"" N","97° 12' 45.32"" S"
"48113","Dallas","32° 45' 59.54"" N","96° 46' 40.36"" S"
"48445","Terry","33° 10' 25.41"" N","102° 20' 6.58"" S"
"48483","Wheeler","35° 24' 4.17"" N","100° 16' 11.13"" S"
"48127","Dimmit","28° 25' 21.47"" N","99° 45' 23.98"" S"
"48149","Fayette","29° 52' 36.18"" N","96° 55' 11.99"" S"
"48155","Foard","33° 58' 28.55"" N","99° 46' 40.29"" S"
"48183","Gregg","32° 28' 49.59"" N","94° 49' 1.08"" S"
"48189","Hale","34° 4' 13.35"" N","101° 49' 36.77"" S"
"48397","Rockwall","32° 53' 51.79"" N","96° 24' 28.02"" S"
"48267","Kimble","30° 29' 12.68"" N","99° 44' 54.96"" S"
"48271","Kinney","29° 21' 0.01"" N","100° 25' 4.84"" S"
"48177","Gonzales","29° 27' 23.67"" N","97° 29' 33.97"" S"
"48191","Hall","34° 31' 50.51"" N","100° 40' 51.99"" S"
"48219","Hockley","33° 36' 27.16"" N","102° 20' 35.43"" S"
"48257","Kaufman","32° 35' 57.04"" N","96° 17' 15.98"" S"
"48247","Jim Hogg","27° 2' 35.82"" N","98° 41' 50.33"" S"
"48021","Bastrop","30° 6' 12.57"" N","97° 18' 43.36"" S"
"48197","Hardeman","34° 17' 24.68"" N","99° 44' 43.76"" S"
"48209","Hays","30° 3' 29.03"" N","98° 1' 51.43"" S"
"48233","Hutchinson","35° 50' 23.87"" N","101° 21' 16.85"" S"
"48307","McCulloch","31° 11' 55.40"" N","99° 20' 51.16"" S"
"48123","DeWitt","29° 4' 55.39"" N","97° 21' 24.86"" S"
"48125","Dickens","33° 36' 59.09"" N","100° 46' 44.05"" S"
"48077","Clay","33° 47' 6.61"" N","98° 12' 30.45"" S"
"48081","Coke","31° 53' 18.94"" N","100° 31' 47.53"" S"
"48087","Collingsworth","34° 57' 53.13"" N","100° 16' 12.06"" S"
"48235","Irion","31° 18' 14.04"" N","100° 58' 56.60"" S"
"48243","Jeff Davis","30° 42' 56.43"" N","104° 8' 23.81"" S"
"48249","Jim Wells","27° 43' 51.35"" N","98° 5' 24.13"" S"
"48281","Lampasas","31° 11' 46.29"" N","98° 14' 29.11"" S"
"48291","Liberty","30° 9' 5.26"" N","94° 48' 43.20"" S"
"48253","Jones","32° 44' 23.32"" N","99° 52' 43.50"" S"
"48085","Collin","33° 11' 16.32"" N","96° 34' 20.53"" S"
"48095","Concho","31° 19' 35.25"" N","99° 51' 50.41"" S"
"48111","Dallam","36° 16' 40.64"" N","102° 36' 7.98"" S"
"48115","Dawson","32° 44' 32.96"" N","101° 56' 51.49"" S"
"48047","Brooks","27° 1' 53.41"" N","98° 13' 7.35"" S"
"48105","Crockett","30° 43' 22.30"" N","101° 24' 41.93"" S"
"48439","Tarrant","32° 46' 17.29"" N","97° 17' 28.42"" S"
"48121","Denton","33° 12' 18.61"" N","97° 7' 1.23"" S"
"48133","Eastland","32° 19' 37.42"" N","98° 49' 56.75"" S"
"48269","King","33° 36' 59.52"" N","100° 15' 21.05"" S"
"48327","Menard","30° 53' 23.44"" N","99° 49' 13.93"" S"
"48447","Throckmorton","33° 10' 38.71"" N","99° 12' 44.45"" S"
"48305","Lynn","33° 10' 36.31"" N","101° 48' 58.06"" S"
"48331","Milam","30° 47' 10.48"" N","96° 58' 36.92"" S"
"48363","Palo Pinto","32° 45' 10.90"" N","98° 18' 46.98"" S"
"48137","Edwards","29° 58' 57.42"" N","100° 18' 17.98"" S"
"48217","Hill","31° 59' 26.28"" N","97° 7' 55.98"" S"
"48299","Llano","30° 42' 20.49"" N","98° 41' 2.74"" S"
"48027","Bell","31° 2' 15.58"" N","97° 28' 41.69"" S"
"48375","Potter","35° 24' 4.37"" N","101° 53' 38.13"" S"
"48461","Upton","31° 22' 7.10"" N","102° 2' 35.25"" S"
"48495","Winkler","31° 51' 0.05"" N","103° 2' 54.25"" S"
"48415","Scurry","32° 44' 46.33"" N","100° 54' 59.12"" S"
"48193","Hamilton","31° 42' 17.04"" N","98° 6' 39.03"" S"
"48433","Stonewall","33° 10' 44.86"" N","100° 15' 12.10"" S"
"48505","Zapata","27° 0' 2.06"" N","99° 10' 6.72"" S"
"48059","Callahan","32° 17' 51.23"" N","99° 22' 24.52"" S"
"48099","Coryell","31° 23' 26.95"" N","97° 47' 57.28"" S"
"48319","Mason","30° 43' 3.51"" N","99° 13' 34.08"" S"
"48359","Oldham","35° 24' 18.58"" N","102° 36' 9.83"" S"
"48425","Somervell","32° 13' 20.12"" N","97° 46' 27.82"" S"
"48393","Roberts","35° 50' 18.02"" N","100° 48' 48.85"" S"
"48013","Atascosa","28° 53' 36.29"" N","98° 31' 37.22"" S"
"48023","Baylor","33° 36' 59.21"" N","99° 12' 48.74"" S"
"48033","Borden","32° 44' 36.84"" N","101° 25' 54.16"" S"
"48071","Chambers","29° 44' 18.97"" N","94° 36' 39.39"" S"
"48019","Bandera","29° 44' 50.37"" N","99° 14' 46.32"" S"
"48181","Grayson","33° 37' 36.03"" N","96° 40' 39.49"" S"
"48195","Hansford","36° 16' 38.44"" N","101° 21' 16.48"" S"
"48211","Hemphill","35° 50' 14.93"" N","100° 16' 14.24"" S"
"48295","Lipscomb","36° 16' 39.14"" N","100° 16' 23.34"" S"
"48297","Live Oak","28° 21' 4.11"" N","98° 7' 29.07"" S"
"48101","Cottle","34° 4' 39.22"" N","100° 16' 43.71"" S"
"48259","Kendall","29° 56' 40.58"" N","98° 42' 41.59"" S"
"48463","Uvalde","29° 21' 26.02"" N","99° 45' 44.31"" S"
"48325","Medina","29° 21' 20.10"" N","99° 6' 36.58"" S"
"48329","Midland","31° 52' 8.64"" N","102° 1' 53.75"" S"
"48335","Mitchell","32° 18' 22.02"" N","100° 55' 16.12"" S"
"48443","Terrell","30° 13' 28.72"" N","102° 4' 35.95"" S"
"48491","Williamson","30° 38' 53.06"" N","97° 36' 2.03"" S"
"48159","Franklin","33° 10' 31.36"" N","95° 13' 6.41"" S"
"48039","Brazoria","29° 11' 22.15"" N","95° 27' 7.49"" S"
"48223","Hopkins","33° 8' 58.27"" N","95° 33' 50.43"" S"
"48321","Matagorda","28° 49' 15.74"" N","96° 0' 40.38"" S"
"48387","Red River","33° 37' 14.16"" N","95° 3' 0.47"" S"
"48003","Andrews","32° 18' 18.47"" N","102° 38' 15.91"" S"
"48265","Kerr","30° 3' 41.56"" N","99° 20' 59.12"" S"
"48293","Limestone","31° 32' 43.17"" N","96° 34' 49.20"" S"
"48437","Swisher","34° 31' 49.14"" N","101° 44' 5.98"" S"
"48075","Childress","34° 31' 44.51"" N","100° 12' 27.40"" S"
"48237","Jack","33° 14' 0.08"" N","98° 10' 20.86"" S"
"48063","Camp","32° 58' 23.61"" N","94° 58' 42.60"" S"
"48255","Karnes","28° 54' 20.32"" N","97° 51' 33.99"" S"
"48153","Floyd","34° 4' 20.30"" N","101° 18' 11.66"" S"
"48169","Garza","33° 10' 47.26"" N","101° 17' 54.45"" S"
"48207","Haskell","33° 10' 41.32"" N","99° 43' 49.10"" S"
"48201","Harris","29° 51' 27.93"" N","95° 23' 36.06"" S"
"48345","Motley","34° 4' 26.33"" N","100° 46' 47.38"" S"
"48073","Cherokee","31° 50' 12.04"" N","95° 9' 53.87"" S"
"48031","Blanco","30° 15' 58.39"" N","98° 23' 59.62"" S"
"48501","Yoakum","33° 10' 22.47"" N","102° 49' 40.04"" S"
"48117","Deaf Smith","34° 57' 58.02"" N","102° 36' 17.99"" S"
"48147","Fannin","33° 35' 37.40"" N","96° 6' 25.18"" S"
"48171","Gillespie","30° 19' 5.15"" N","98° 56' 47.61"" S"
